優先度,キーワード,検索意図,想定ボリューム,受け皿ページ,現状の対応,施策
最高,中野 コーヒー豆,地域×購買,中,豆一覧,弱い,title/description/h1に「中野」「コーヒー豆」を明示。GBP整備
最高,中野 自家焙煎,地域×専門性,中,トップ/MUTOについて,弱い,焙煎ページを新設しGIESENと毎朝焙煎を訴求
最高,中野 コーヒー,地域×一般,大,トップ,弱い,トップのtitle/h1で中野を明示
高,中野 カフェ 落ち着く,地域×来店,中,店舗案内,なし,店内写真と席・設備情報を充実
高,中野 スペシャルティコーヒー,地域×専門性,小,豆一覧,弱い,トレーサビリティの明示で専門性を訴求
高,中野駅 カフェ 南口,地域×来店,中,アクセス,なし,写真つき道順ページを新設
高,コーヒー豆 通販 スペシャルティ,全国×購買,大,豆一覧,弱い,絞り込み機能と味の見える化
中,エチオピア コーヒー豆 通販,産地指名×購買,中,商品詳細,弱い,産地情報を構造化して掲載
中,ケニア コーヒー豆 通販,産地指名×購買,中,商品詳細,弱い,同上
中,グアテマラ コーヒー豆 通販,産地指名×購買,中,商品詳細,弱い,同上
中,カフェインレス コーヒー豆 おいしい,ニーズ×購買,中,カフェインレス商品,弱い,カテゴリページを設けて訴求
中,コーヒー 焙煎度 違い,情報収集,大,ジャーナル(淹れかた),なし,解説記事を新規作成。豆一覧へ内部リンク
中,ハンドドリップ 淹れ方 コツ,情報収集,大,ジャーナル(淹れかた),なし,同上
中,コーヒー豆 保存方法,情報収集,大,ジャーナル(淹れかた),なし,同上
中,コーヒー豆 100g 少量 通販,ニーズ×購買,小,飲み比べセット,なし,100g×3のセット商品を新設
中,コーヒー 定期便 自家焙煎,ニーズ×購買,中,定期便,なし,フェーズ3で新設
低,中野 手土産 コーヒー,ニーズ×購買,小,ギフト,なし,ギフト包装の訴求
低,nakano coffee roastery,訪日客,小,/en/,なし,英語1ページを新設
低,nakano specialty coffee,訪日客,小,/en/,なし,同上
低,MUTO coffee roastery,指名,小,トップ,対応済,titleの綴り統一(roastary誤記の修正)
